voice_resource_id,voice_asr_text,true_label,pred_label,true_label_name,pred_label_name,pred_reason,error_type
Uo0_bouLmdY.aac,都想盖绿板，刚好下面也麻烦哦，手机钞票，奔驰天涯，还有大天龙。,1,0,搞笑/玩梗,非搞笑/玩梗,内容模糊不完整，无法确认搞笑结构，边界判0。,误判
AjpO4rOV2Tc.aac,来来来来，卖三明治，卖三明治。,1,0,搞笑/玩梗,非搞笑/玩梗,简单叫卖重复，无搞笑结构。,误判
EL5g0wkN-wc.aac,上一秒我在台北看烟火，下一秒你在上海和某地口。你感觉我就像我感觉你世界上的另一个我，上一秒我在怕你落。大雨下一秒，你在蒙古天气，请你感觉我就像我感受你世界上的。另一个我。,0,1,非搞笑/玩梗,搞笑/玩梗,Step2第2条：恶搞改编歌词，将原词改为荒诞内容（和某地口、蒙古天气），主动制造笑点。,误判
FDdyR0bRGKc.aac,哎呦我去，你爸很潮啊。,0,1,非搞笑/玩梗,搞笑/玩梗,Step2第1条：调侃他人，明确对象（你爸）和荒诞落点（很潮），主动制造笑点。,误判
_f6cHoag3tg.aac,卖神秘制的，非常好吃。,1,0,搞笑/玩梗,非搞笑/玩梗,简单叫卖，无搞笑结构。,误判
6DzW9xQc8zc.aac,什么叫做5200，经常转一次比一次突破。这还是中国话吗？明明每个字我都认识组合在一起，我怎么就不认识了。,1,0,搞笑/玩梗,非搞笑/玩梗,表达困惑/吐槽，无明确搞笑结构，边界判0。,误判
fBDDoTeGvLQ.aac,你是我。,1,0,搞笑/玩梗,非搞笑/玩梗,极短无意义，无搞笑结构。,误判
-u1iZXSM4_M.aac,叫哥哥太小了。叫叔叔太老了。俏猫猫，性别又不对。那你应该叫我什么呢？,1,0,搞笑/玩梗,非搞笑/玩梗,未命中任何搞笑结构，无法识别具体网络梗，属于普通调侃，边界判0（Step9兜底）,误判
DB_V2wjsRKQ.aac,三明治，三明治，我在买新鲜的三明治。,1,0,搞笑/玩梗,非搞笑/玩梗,普通叙述，无搞笑意图（Step9兜底）,误判
8jb_NAonngk.aac,三明治，三明治卖，三明治，三明治。,1,0,搞笑/玩梗,非搞笑/玩梗,重复叫卖，无搞笑结构（Step9兜底）,误判
7nN60fyeUAU.aac,哎呀，嘟嘟嘟嘟嘟嘟嘟嘟嘟嘟嘟嘟。儿子，儿子，儿子奶奶奶奶奶奶奶奶奶奶。干嘛呢？,1,0,搞笑/玩梗,非搞笑/玩梗,无意义拟声，无明确搞笑结构，无法识别具体梗（Step9兜底）,误判
T1tXGprk8bw.aac,泪水打湿数据线，我去好像会倒电。,1,0,搞笑/玩梗,非搞笑/玩梗,可能为段子但无法确认具体梗，边界判0（Step9兜底）,误判
7m4utLn0EY0.aac,奥特曼飞得慢，飞到凌晨三点半。,1,0,搞笑/玩梗,非搞笑/玩梗,顺口溜，无明确搞笑结构，无法识别具体梗（Step9兜底）,误判
lsuzExbHzig.aac,卖三明治嘞，卖三明治嘞，走过路过不要错过，看看我们家最近新鲜的三明治。都是自己纯手工打造。,1,0,搞笑/玩梗,非搞笑/玩梗,普通叫卖，无搞笑意图（Step9兜底）,误判
GvYkDOcmLSI.aac,sity spection。,1,0,搞笑/玩梗,非搞笑/玩梗,ASR无意义文本，无搞笑结构（Step9兜底）,误判
mSS-hFtJBB4.aac,棉袄叔叔在练步机。哈哈哈。,1,0,搞笑/玩梗,非搞笑/玩梗,笑声依附于叙述，核心意图为描述，未主动制造笑点（Step7排除）,误判
8pryz94qCPM.aac,卖扇贝吃喽，卖扇贝吃喽，看看，哈哈哈哈哈，卖扇贝吃喽。,1,0,搞笑/玩梗,非搞笑/玩梗,笑声依附于叫卖，核心意图为推销，非主动逗乐（Step7排除）,误判
9-CVoGqwDlc.aac,呃。啊，是关中王来了。点开这颗星，点亮这颗星。哥哥你在哪里？,1,0,搞笑/玩梗,非搞笑/玩梗,直播互动用语，无搞笑结构，Step9判0。,误判
89bFcIPWNho.aac,哔哔喇叭，我的刀盾。,1,0,搞笑/玩梗,非搞笑/玩梗,可能为游戏术语或喊麦，无明确搞笑结构，Step9判0。,误判
cpqnl5U8wYU.aac,这歌变神奇。发音还在唱歌。我听着语音缝补出来。,1,0,搞笑/玩梗,非搞笑/玩梗,普通评论，无搞笑结构，核心意图是叙述。,误判
tTtwjKb_-WE.aac,我听见你心中那动人的天籁，就忽如一夜春风袭来，满面桃花开。我忍不住去采，我忍不住去摘。我敞开胸怀为你等待，令台令台台。,1,0,搞笑/玩梗,非搞笑/玩梗,疑似歌词但无法确认恶搞改编，更可能是认真唱歌，判0。,误判
cgwDTpD3i1A.aac,当当当当当。,1,0,搞笑/玩梗,非搞笑/玩梗,纯拟声字符，无独立语义，归为简短回应。,误判
FBwkSG38p4s.aac,来三明治，三明治好吃，要钱不好吃也要钱来。,1,0,搞笑/玩梗,非搞笑/玩梗,边界内容，无明显搞笑结构，全局铁律判0。,误判
hZYCXX4-PJw.aac,我真的好崩溃啊。你发语音就唱歌，我是真的没招惹。,1,0,搞笑/玩梗,非搞笑/玩梗,吐槽抱怨，表达情绪，无主动制造笑点。,误判
Nd0yxPcUFGE.aac,哈喽everybody。sorry，我不喜欢女孩，sorry我不会哄男孩。,1,0,搞笑/玩梗,非搞笑/玩梗,文本模糊，无法确认是玩梗，边界判0。,误判
k39sNROxshM.aac,不是干嘛啊，播真的没招了。,1,0,搞笑/玩梗,非搞笑/玩梗,抱怨语气，无搞笑结构，未命中任何规则。,误判
_vfsP4u1NEE.aac,猜名字，猜名字看一下吧。有点害羞哦，三明治。三明治在睡觉，周末有教室。想买的话可。先把他们。芭蕉香，OK。,1,0,搞笑/玩梗,非搞笑/玩梗,内容杂乱无逻辑，无明确搞笑结构，ASR可能错误，判0。,误判
ZrDxdqnkpmA.aac,小哥哥太小了。小猪猪太老了。叫妈妈性格不对，仔细想想应该叫我什么。救你。,1,0,搞笑/玩梗,非搞笑/玩梗,似调侃但无法确定具体网络梗或结构，边界内容按全局铁律判0。,误判
2aPG0zZ8h9g.aac,叫哥哥。,1,0,搞笑/玩梗,非搞笑/玩梗,短命令式语句，无搞笑结构，判0。,误判
RAyAYUOXo3k.aac,我非要去下载玩吃鸡。,1,0,搞笑/玩梗,非搞笑/玩梗,叙述个人意愿，无搞笑元素，判0。,误判
3Y9oElNxNOg.aac,特别神奇，发育音还在唱歌。我听着语音蹦不出了啊。,1,0,搞笑/玩梗,非搞笑/玩梗,无明确搞笑结构，仅表达惊讶，未命中任何判1规则，Step9兜底判0。,误判
BDx3NJS_5p8.aac,小哥哥。太小了叫叔叔，太老了，你应该怎么叫我的。,1,0,搞笑/玩梗,非搞笑/玩梗,普通调侃，无法识别具体网络梗，无明确搞笑结构，Step9兜底判0。,误判
RaJlAec9uVM.aac,泪水打湿养浴吧，又麻又辣又想她。,1,0,搞笑/玩梗,非搞笑/玩梗,疑似网络梗但无法明确识别具体出处，边界内容按铁律判0。,误判
g2anZjJ8Ds8.aac,别闹叔叔再连夫妻。嗯嗯。,1,0,搞笑/玩梗,非搞笑/玩梗,简短无明确搞笑结构，Step9兜底判0。,误判
Rcv5OizStZY.aac,恭喜你兄弟成功的被我恭喜到了啊，记住吃饭要用嘴，走路要用腿。废话说的是屁话，屁话说的是废话，所以我现在既没有说废话也没有说屁话，所以我说白了，我白说了，我不说了。听到这条语音的人，我会浪费你的时间，所以你再不要听后面了。嗯，对，如果你还想继续停下去的话，那就就停吧，因为我已经浪费你很多时间了。,0,1,非搞笑/玩梗,搞笑/玩梗,命中Step2第3条：夸张堆砌对仗式废话文学，主动制造笑点。,误判
wP5S27PK0JQ.aac,哎呀，哥哥我摔倒了。,1,0,搞笑/玩梗,非搞笑/玩梗,无法明确识别为具体网络梗，边界内容按铁律判0。,误判
e3N1FYn5My8.aac,真是服了这个KK键盘了，什么恶臭的语音，一说话就开始唱歌。搞得我们同学他们都嫌弃了，好吧，家人们。,1,0,搞笑/玩梗,非搞笑/玩梗,抱怨吐槽，无主动制造笑点，Step9兜底判0。,误判
tpyHh7tAvSE.aac,三明治。,1,0,搞笑/玩梗,非搞笑/玩梗,极短无意义，Step9兜底判0。,误判
XgYO7x1Hf_g.aac,三明治，三明治，新鲜的三明治嘞。,1,0,搞笑/玩梗,非搞笑/玩梗,叫卖式重复，无搞笑结构，Step9判0。,误判
DrlF0LQUaEk.aac,叫哥哥太小了，叫叔叔太老了，叫妈妈性格不对。那我想想应该叫什么呢？,1,0,搞笑/玩梗,非搞笑/玩梗,正常困惑叙述，无明确搞笑结构或梗，Step9判0。,误判
On8IRuSqYgg.aac,叫哥哥太小了。叫叔叔再唠了。叫妈妈性别不对。到底该叫什么呢？,1,0,搞笑/玩梗,非搞笑/玩梗,与样本6类似，正常困惑，无搞笑结构，Step9判0。,误判
Hft1Wcl2hUQ.aac,嗯。哭完了吗？哭完挂了。,1,0,搞笑/玩梗,非搞笑/玩梗,冷漠回应，无搞笑意图，Step9判0。,误判
KbdKmoWmk4o.aac,啊去。,1,0,搞笑/玩梗,非搞笑/玩梗,极短无意义，Step9判0。,误判
yRIIdlBvFuE.aac,啊啊。哈哈哈哈。哎。哈哈哈。,1,0,搞笑/玩梗,非搞笑/玩梗,纯拟声笑声，无独立语义，Step5判0。,误判
M6qHVQUPsxM.aac,向上向上，向上，向上向上。挣钱。,1,0,搞笑/玩梗,非搞笑/玩梗,口号式重复，无搞笑结构，Step9判0。,误判
_NXZPuYEpPI.aac,爱在唱歌。我听着语音封不住了啦。,1,0,搞笑/玩梗,非搞笑/玩梗,ASR可能识别错误，无明确搞笑结构，Step9判0。,误判
mxHpBDoHKxQ.aac,啊。,1,0,搞笑/玩梗,非搞笑/玩梗,单字无意义，Step9判0。,误判
_R7zmcVa8Dw.aac,向上向上，向上向上向前是萝莉音，湖北歌就是串通。,1,0,搞笑/玩梗,非搞笑/玩梗,内容混乱，疑似ASR错误，无搞笑结构。,误判
urY4wyV80hY.aac,猪猪。我要换奶片喽。,1,0,搞笑/玩梗,非搞笑/玩梗,简单陈述，无搞笑意图。,误判
dc_JDqvdHNs.aac,渣渣，发个奶屁给你不，不不，呵呵呵呵呵，死我了。,1,0,搞笑/玩梗,非搞笑/玩梗,边界内容，笑声词+“死我了”但缺乏明确搞笑结构，按全局铁律判0。,误判
_nWzwlmNny8.aac,6666。,1,0,搞笑/玩梗,非搞笑/玩梗,纯数字，无搞笑结构。,误判
nqOgtgFzzXk.aac,啊啊。OK，可离合呀，好棒。,1,0,搞笑/玩梗,非搞笑/玩梗,简单感叹，无搞笑结构。,误判
jPAboLUxsOk.aac,啊，不出。哇哦哦哦。,1,0,搞笑/玩梗,非搞笑/玩梗,无意义感叹，无搞笑。,误判
T7_9EnjS-gc.aac,中奖概率倍儿高，奖品野马跟儿好。嗯哎，不会唱了。,1,0,搞笑/玩梗,非搞笑/玩梗,似广告喊麦，但无明确搞笑结构，后半句自嘲不构成独立笑点。,误判
t_kfQBRYYLs.aac,啊。,1,0,搞笑/玩梗,非搞笑/玩梗,单字无意义，无搞笑。,误判
kvOzcj0z_bk.aac,我要烟牌牌没有问题，我给我踩皮鞋。,1,0,搞笑/玩梗,非搞笑/玩梗,内容模糊，无搞笑结构。,误判
boUawH4KhlI.aac,别闹了。世人难辨不清。,1,0,搞笑/玩梗,非搞笑/玩梗,前半句可能调侃但无具体搞笑结构，后半句像歌词，整体非主动制造笑点，Step9判0。,误判
Tf3vo8TsD88.aac,向上向上，向上向上向上向前是俄语音。,1,0,搞笑/玩梗,非搞笑/玩梗,疑似ASR识别错误或指令，无搞笑意图，Step9判0。,误判
ID-7OHrjbkg.aac,我真的着了，有没有人帮帮我真的管不了了。,1,0,搞笑/玩梗,非搞笑/玩梗,表达崩溃/无奈，无搞笑结构，Step9判0。,误判
9yVYMCaIAnc.aac,小哥哥太小了。叫叔叔看来了，你妈妈性格不对，你想想。你应该相信吧。,1,0,搞笑/玩梗,非搞笑/玩梗,文本混乱，无法明确识别具体梗，边界内容按全局铁律判0。,误判
Z-eDel2fa_g.aac,啊，这可别生气。把语音还在唱歌。我听着语音绷不住的爱。,1,0,搞笑/玩梗,非搞笑/玩梗,‘绷不住’非独立成句表达被逗笑，整体描述听语音唱歌，无主动制造笑点，Step9判0。,误判
tBSLrb3_lTY.aac,向下向下，向下，向下向后上点儿。,1,0,搞笑/玩梗,非搞笑/玩梗,指令性内容，无搞笑意图，Step9判0。,误判
EbLbdphagVE.aac,我真的好崩溃啊。你发语音就唱歌，我是真的没招惹。,1,0,搞笑/玩梗,非搞笑/玩梗,抱怨/吐槽，无搞笑结构，Step9判0。,误判
wQP8yhbMpO8.aac,呵，好呵，好，呵呵呵。,1,0,搞笑/玩梗,非搞笑/玩梗,纯拟声笑声字符，无独立语义，Step5判0。,误判
PEFk2hJhQQE.aac,新疆的猫叫彬彬，他不来不信你听。咪咪咪咪咪咪。调皮给他妈喊过来你听啊。回来啦。,1,0,搞笑/玩梗,非搞笑/玩梗,日常叙述猫叫，无明确搞笑结构，Step9判0。,误判
xfh2e68kL_k.aac,小萝卜。,1,0,搞笑/玩梗,非搞笑/玩梗,极短称呼，无搞笑结构，Step9判0。,误判
yCdBTl9XNeA.aac,我要烟牌牌没有问题给我擦皮鞋。,1,0,搞笑/玩梗,非搞笑/玩梗,内容不明，无明确搞笑结构（Step9）,误判
g1Lv3h8CGp0.aac,我听见你心中那动人的天籁，就忽如一夜春风袭来，满面桃花开，我忍不住去踩。我忍不住去摘我敞开胸怀，为你等待你抬抬。,1,0,搞笑/玩梗,非搞笑/玩梗,疑似歌词改编但无法确认恶搞意图，更像认真唱歌（Step2/Step9）,误判
J5hInoM1Qzc.aac,一开始我也以为他们只是玩个，然后就买了个变声器，结果现在改不回了。,1,0,搞笑/玩梗,非搞笑/玩梗,叙述经历，无主动制造笑点结构（Step9）,误判
RAW-bTxAYyk.aac,嗯嗯。,1,0,搞笑/玩梗,非搞笑/玩梗,极简短回应，无特征（Step9）,误判
wc99dTifm6o.aac,啊啊。big。,1,0,搞笑/玩梗,非搞笑/玩梗,无意义内容，无搞笑意图（Step9）,误判
mmlLkpLeR98.aac,不能啊。啊。嗯，不能拿。,1,0,搞笑/玩梗,非搞笑/玩梗,普通对话，无搞笑意图（Step9）,误判
mVCUcqub5x0.aac,三明治，三明治，三明治。今天新的三明治，好吃又好吃，特别好吃，三明治啦。嗨。,1,0,搞笑/玩梗,非搞笑/玩梗,推销式介绍，核心意图非搞笑（Step9）,误判
Zw_RxgS0OQQ.aac,什么东西拿回读英语嘞，能开玩笑嘞。city sfection,1,0,搞笑/玩梗,非搞笑/玩梗,内容混乱，无法判断具体搞笑结构（Step9）,误判
uubC3Z4QgEg.aac,电脑叔叔在拉屎。,1,0,搞笑/玩梗,非搞笑/玩梗,有荒诞感但无法识别具体梗，边界判0（Step2/Step9）,误判
gH6Rw9pr7Pk.aac,别闹，我在玩和平精英。,1,0,搞笑/玩梗,非搞笑/玩梗,普通回应，无搞笑意图（Step9）,误判
MGF9FVr9Sqs.aac,怎么都开始挑战这个熊东西了。有什么好挑战的，我靠了兄弟set is vection。,1,0,搞笑/玩梗,非搞笑/玩梗,吐槽语气，无明确搞笑结构（Step9）,误判
EqXGPuULt68.aac,妈妈31岁。11岁又健康的31岁谁要买给我直播间拉倒。,1,0,搞笑/玩梗,非搞笑/玩梗,ASR可能识别错误，内容混乱，无明确搞笑结构，判0。,误判
iENRM428CCw.aac,city sfiction,1,0,搞笑/玩梗,非搞笑/玩梗,短且无意义，无搞笑特征，Step9判0。,误判
_SEXkv3BAR0.aac,中奖概率倍儿高，奖品也码倍儿好，手机钞票本身今天还有大奖了。,1,0,搞笑/玩梗,非搞笑/玩梗,类似广告宣传，无明确搞笑结构，Step9判0。,误判
0WfrHFdnXdY.aac,啊。啊啊。啊啊嘿。啊哈嘿。啊嘿。诶诶诶。你人节快乐。一道道的沟沟。抖音道道亮。,1,0,搞笑/玩梗,非搞笑/玩梗,拟声词加混乱内容，无搞笑结构，Step9判0。,误判
3rdkZRqs3yI.aac,啊啊啊。啊。,1,0,搞笑/玩梗,非搞笑/玩梗,纯拟声，无语义，Step5判0。,误判
S56THLPagNw.aac,哈哈哈哈。,1,0,搞笑/玩梗,非搞笑/玩梗,纯笑声字符，无搞笑意图，Step5判0。,误判
4mHqKHKmQP4.aac,向下向下，向下，向下向下向前。,1,0,搞笑/玩梗,非搞笑/玩梗,Step9：简单重复指令，无搞笑意图，判0。,误判
Rx8xhqNaPF0.aac,浑沌眯一捂。鱼条一根。当你把这个倒头鱼条往脚米里面一泼。秦茂明渡过前后。,1,0,搞笑/玩梗,非搞笑/玩梗,Step9：ASR识别错误，无意义，判0。,误判
kuCSzqcbgpA.aac,我现在用最简单最直白，最不绕弯子的话告诉你我没绷住。,1,0,搞笑/玩梗,非搞笑/玩梗,Step1：'没绷住'单独成句，缺乏具体内容支撑，判0。,误判
jVEWUkQ_AVg.aac,为什么我下载了这个现在说话都是唱歌的，我真的绷不住了，我卸载了都还搁那唱。,0,1,非搞笑/玩梗,搞笑/玩梗,Step1：'绷不住了'配合荒诞描述（卸载后仍唱），主动逗乐，判1。,误判
rOoKUVoKUg4.aac,你是绝对温满村。你以为你保护的那些村货。我发现不了吗？看到我。,1,0,搞笑/玩梗,非搞笑/玩梗,Step9：ASR错误或游戏台词，无明确梗，判0。,误判
GpYgsg-zXhE.aac,再见吧撒，再见吧撒，再见吧撒，再见吧撒，再见吧撒。带紧摸杀仙女摸手这么久了，仙女点位不对，姐妹摸手摸发。,1,0,搞笑/玩梗,非搞笑/玩梗,Step9：ASR错误或无意义，无搞笑结构，判0。,误判
dTSTYFD7Cdo.aac,姐姐于静香，哪有你的余静香鬼鬼鬼鬼鬼鬼鬼鬼鬼鬼鬼鬼鬼鬼鬼鬼鬼鬼鬼鬼亲吻亲吻，亲吻亲吻。,1,0,搞笑/玩梗,非搞笑/玩梗,文本混乱可能ASR错误，无法明确识别具体梗或调侃对象，边界判0（Step9）,误判
q1tgXl8Yg7E.aac,鹅鹅鹅。,1,0,搞笑/玩梗,非搞笑/玩梗,纯拟声字符，无独立语义，归为简短回应（Step5判0）,误判
BzOScGQuv7Y.aac,炸一炸摇一摇，校长看到。,1,0,搞笑/玩梗,非搞笑/玩梗,无法识别具体网络梗/段子，无笑声词，结构像随口一说，判0（Step9）,误判
_rYpvT-_zCA.aac,我也会飞。哎。,1,0,搞笑/玩梗,非搞笑/玩梗,简短陈述，无笑声词或搞笑结构，无法确定调侃意图（Step9）,误判
5uKuX8BYsdA.aac,哎。,1,0,搞笑/玩梗,非搞笑/玩梗,单字无意义，极简短，倾向判0（Step5/9）,误判
fJoBIiU2g1g.aac,sless fixtion。,1,0,搞笑/玩梗,非搞笑/玩梗,无意义英文或ASR错误，无搞笑结构（Step9）,误判
SL_Kgd1uyU0.aac,这是是我的的。你是该。,1,0,搞笑/玩梗,非搞笑/玩梗,文本碎片，语义不清，无搞笑特征，判0。,误判
mc3z_3lp5RQ.aac,你点开的那一刻你已经输了，其实我不一场知道吗？你点开那一刻我就是想骗你。什么当恩怨歌一般不一般，我不会唱。,1,0,搞笑/玩梗,非搞笑/玩梗,看似有套路但无法识别具体网络梗，边界内容判0。,误判
c5yLFxeDOyA.aac,艾玛这个我也会呀，相上相上，相上向前是萝莉音，湖北哥就是伤头。,1,0,搞笑/玩梗,非搞笑/玩梗,语义不明，无法确认具体梗或搞笑结构，判0。,误判
E4Gd7VNInTI.aac,笨妈妈。,1,0,搞笑/玩梗,非搞笑/玩梗,极短称呼，无搞笑特征。,误判
YVLFotCWrRg.aac,哈哈哈哈哈哈。哈哈哈哈哈。我不行了。,1,0,搞笑/玩梗,非搞笑/玩梗,纯拟声笑声+情绪反应，无主动制造笑点，Step5判0。,误判
a0kcMt2bDZQ.aac,大家好，我是面糖。,1,0,搞笑/玩梗,非搞笑/玩梗,简单自我介绍，无搞笑意图。,误判
O5Ks6pAYJKE.aac,胡萝卜。,1,0,搞笑/玩梗,非搞笑/玩梗,单个词，无意义，判0。,误判
